timestamp,open,high,low,close,volume
2026-03-02T09:30:00,100.00,100.20,99.95,100.10,12000
2026-03-02T09:31:00,100.10,100.25,100.05,100.18,14500
2026-03-02T09:32:00,100.18,100.40,100.12,100.36,18000
2026-03-02T09:33:00,100.36,100.50,100.20,100.44,17500
2026-03-02T09:34:00,100.44,100.48,100.22,100.28,11000
2026-03-02T09:35:00,100.28,100.35,100.10,100.14,10000
2026-03-02T09:36:00,100.14,100.30,100.10,100.26,13200
2026-03-02T09:37:00,100.26,100.55,100.24,100.50,21000
2026-03-02T09:38:00,100.50,100.74,100.46,100.70,22000
2026-03-02T09:39:00,100.70,100.76,100.40,100.48,16000
2026-03-02T09:40:00,100.48,100.55,100.20,100.24,17000
2026-03-02T09:41:00,100.24,100.38,100.16,100.32,15500
2026-03-02T09:42:00,100.32,100.62,100.30,100.58,19500
2026-03-02T09:43:00,100.58,100.80,100.51,100.72,23000
2026-03-02T09:44:00,100.72,100.88,100.60,100.84,24000
2026-03-02T09:45:00,100.84,100.90,100.55,100.62,17500
