timestamp,open,high,low,close,volume
2026-03-02T09:30:00,180.00,180.10,179.72,179.80,35000
2026-03-02T09:31:00,179.80,179.92,179.60,179.66,36000
2026-03-02T09:32:00,179.66,179.82,179.52,179.58,36500
2026-03-02T09:33:00,179.58,179.70,179.40,179.44,37200
2026-03-02T09:34:00,179.44,179.55,179.30,179.36,37500
2026-03-02T09:35:00,179.36,179.52,179.24,179.30,38000
2026-03-02T09:36:00,179.30,179.40,179.18,179.26,39000
2026-03-02T09:37:00,179.26,179.34,179.06,179.12,41000
2026-03-02T09:38:00,179.12,179.20,178.98,179.04,42000
2026-03-02T09:39:00,179.04,179.18,178.94,179.08,42500
2026-03-02T09:40:00,179.08,179.20,178.96,179.14,43200
2026-03-02T09:41:00,179.14,179.22,179.00,179.06,43800
2026-03-02T09:42:00,179.06,179.18,178.90,178.98,45000
2026-03-02T09:43:00,178.98,179.10,178.84,178.92,46200
2026-03-02T09:44:00,178.92,179.04,178.80,178.88,47000
2026-03-02T09:45:00,178.88,179.02,178.76,178.84,48000
