timestamp,open,high,low,close,volume
2026-03-02T09:30:00,25.00,25.08,24.98,25.05,90000
2026-03-02T09:31:00,25.05,25.12,25.02,25.09,92000
2026-03-02T09:32:00,25.09,25.18,25.08,25.16,95000
2026-03-02T09:33:00,25.16,25.24,25.12,25.22,98000
2026-03-02T09:34:00,25.22,25.30,25.20,25.28,101000
2026-03-02T09:35:00,25.28,25.34,25.24,25.31,103000
2026-03-02T09:36:00,25.31,25.44,25.30,25.42,140000
2026-03-02T09:37:00,25.42,25.60,25.40,25.56,165000
2026-03-02T09:38:00,25.56,25.78,25.54,25.74,190000
2026-03-02T09:39:00,25.74,25.86,25.68,25.81,182000
2026-03-02T09:40:00,25.81,25.92,25.78,25.89,175000
2026-03-02T09:41:00,25.89,25.95,25.72,25.76,160000
2026-03-02T09:42:00,25.76,25.88,25.70,25.84,158000
2026-03-02T09:43:00,25.84,25.98,25.82,25.94,170000
2026-03-02T09:44:00,25.94,26.04,25.90,26.00,176000
2026-03-02T09:45:00,26.00,26.06,25.94,26.02,169000
